company_clean,company,sector,sector_group,revenue_band,revenue_rank,employee_band,employee_rank,company_score,reviews_count
"""K"" Line America, Inc.","""K"" Line America, Inc.",,,,,,,5.0,1.0
#Teamgohealth,#TeamGoHealth,,,,,,,,
#Twiceasnice Recruiting,#twiceasnice Recruiting,,,,,,,,
(Qsi) - Quality Systems Integrators,(QSI) - Quality Systems Integrators,,,,,,,,
"(Saipsit, Inc. Has Multiple Openings In Houston,...","(Saipsit, Inc. has multiple openings in Houston,...",,,,,,,,
(Un)Common Logic,(un)Common Logic,Advertising and Public Relations,Consulting,,,XS,2.0,5.0,2.0
0 Percent,0 percent,Asset and Investment Management,Finance,,,,,,
"1 Connect Group, Llc","1 Connect Group, LLC",Human Resources,Human Resources,,,,,,
1 Hotel West Hollywood,1 Hotel West Hollywood,Tourism and Accommodation,Tourism and Accommodation,,,XL,6.0,4.2,100.0
1 Point System,1 Point System,,,,,,,,
1 Point System Llc.,1 Point System LLC.,IT Support,Information Technology,,,,,,
1 Resource Group,1 Resource Group,Management and Consulting,Consulting,XXS,1.0,,,,
"1 Tom Plumber, Llc","1 Tom Plumber, LLC",General Repair and Maintenance Services,Construction,,,,,,
1-800 Accountant,1-800 ACCOUNTANT,,,,,,,,
1-800-Flowers.Com,1-800-Flowers.com,Wholesale and Retail Sales,Sales,XL,6.0,XL,6.0,3.6,365.0
1-800-Packouts Of Ga Llc,1-800-Packouts of GA LLC,,,,,,,,
1-800Accountant,1-800Accountant,,,,,,,,
1/St,1/ST,,,,,,,,
10 Federal Partners Inc.,10 Federal Partners Inc.,,,,,,,,
100 Thieves,100 THIEVES,Media Communications,Media Communications,,,XS,2.0,,
"1010-Applied Fp Holdings, Llc","1010-Applied FP Holdings, LLC",,,,,,,,
1021 Creative,1021 Creative,Audiovisual and Media Communications,Media Communications,,,XS,2.0,,
108700,108700,,,,,,,,
"109 Holdco, Llc","109 Holdco, LLC",Real Estate Management,Real Estate,,,,,,
10X Recruiting Partners,10X Recruiting Partners,,,,,,,,
11 Residential,11 Residential,Real Estate,Real Estate,,,S,3.0,3.4,46.0
1100-Applied Industrial Technologies,1100-Applied Industrial Technologies,,,,,,,,
1199Seiu Benefit And Pension Funds,1199SEIU Benefit and Pension Funds,Healthcare,Health,XL,6.0,XL,6.0,3.9,291.0
1199Seiu Training And Employment Funds,1199SEIU Training and Employment Funds,Healthcare,Health,XL,6.0,XL,6.0,3.9,291.0
11:59:00,11:59:00,,,,,,,,
11T Services,11T Services,Real Estate,Real Estate,,,S,3.0,3.5,8.0
12Th Tribe,12th Tribe,,,,,,,,
137300,137300,,,,,,,,
154200,154200,,,,,,,,
16 Points Holdings Llc,16 Points Holdings LLC,Asset and Investment Management,Finance,,,,,,
