state,state_abbr,occ_code,occ_title,total_employed,annual_mean_wage,annual_median_wage,annual_p10_wage,annual_p90_wage
Alabama,AL,11-1011,Chief Executives,720,221030.0,165320.0,65700.0,
Alabama,AL,11-1021,General and Operations Managers,"34,450",129310.0,103320.0,48080.0,234083.2
Alabama,AL,11-1031,Legislators,"1,140",33690.0,24470.0,18320.0,
Alabama,AL,11-2011,Advertising and Promotions Managers,70,112290.0,104770.0,76480.0,148116.8
Alabama,AL,11-2021,Marketing Managers,"1,490",130920.0,113460.0,65580.0,220313.6
Alabama,AL,11-2022,Sales Managers,"3,650",137700.0,117750.0,66340.0,223412.8
Alabama,AL,11-2032,Public Relations Managers,**,105200.0,91600.0,50420.0,165484.80000000002
Alabama,AL,11-2033,Fundraising Managers,160,84380.0,82640.0,47510.0,122699.2
Alabama,AL,11-3012,Administrative Services Managers,480,128220.0,110990.0,76740.0,183227.2
Alabama,AL,11-3013,Facilities Managers,830,118510.0,109620.0,75520.0,169915.19999999998
Alabama,AL,11-3021,Computer and Information Systems Managers,"5,800",141270.0,132840.0,80140.0,207459.2
Alabama,AL,11-3031,Financial Managers,"5,810",149750.0,134080.0,81970.0,226200.0
Alabama,AL,11-3051,Industrial Production Managers,"3,110",122630.0,113480.0,71360.0,186201.6
Alabama,AL,11-3061,Purchasing Managers,"1,360",123990.0,124130.0,72140.0,177964.80000000002
Alabama,AL,11-3071,"Transportation, Storage, and Distribution Managers","1,240",110850.0,99480.0,61380.0,174574.40000000002
Alabama,AL,11-3111,Compensation and Benefits Managers,140,111160.0,104300.0,71920.0,179566.4
Alabama,AL,11-3121,Human Resources Managers,"1,810",117980.0,106510.0,64730.0,176009.6
Alabama,AL,11-3131,Training and Development Managers,120,113540.0,104250.0,60800.0,162531.2
Alabama,AL,11-9021,Construction Managers,"6,440",104120.0,95190.0,61140.0,160763.2
Alabama,AL,11-9031,"Education and Childcare Administrators, Preschool and Daycare",550,50210.0,46360.0,32940.0,77480.0
Alabama,AL,11-9032,"Education Administrators, Kindergarten through Secondary","3,540",90900.0,93490.0,67170.0,
Alabama,AL,11-9033,"Education Administrators, Postsecondary","3,290",119660.0,101260.0,63090.0,221665.6
Alabama,AL,11-9039,"Education Administrators, All Other","2,640",89750.0,90750.0,46620.0,127296.0
Alabama,AL,11-9041,Architectural and Engineering Managers,"2,970",157230.0,158450.0,99570.0,221998.4
Alabama,AL,11-9051,Food Service Managers,"4,010",65830.0,61730.0,45600.0,92518.4
Alabama,AL,11-9072,"Entertainment and Recreation Managers, Except Gambling",80,55800.0,38740.0,26400.0,89585.6
Alabama,AL,11-9081,Lodging Managers,360,68090.0,68070.0,38000.0,92726.4
Alabama,AL,11-9111,Medical and Health Services Managers,"9,290",99270.0,86590.0,60490.0,144664.0
Alabama,AL,11-9121,Natural Sciences Managers,210,123040.0,112490.0,81590.0,173409.6
Alabama,AL,11-9131,Postmasters and Mail Superintendents,280,90850.0,88850.0,82120.0,104249.6
Alabama,AL,11-9141,"Property, Real Estate, and Community Association Managers","2,910",59850.0,49430.0,35790.0,96616.0
Alabama,AL,11-9151,Social and Community Service Managers,"2,060",69980.0,61980.0,38380.0,105601.6
Alabama,AL,11-9161,Emergency Management Directors,200,75830.0,64210.0,36860.0,117457.6
Alabama,AL,11-9171,Funeral Home Managers,370,86390.0,73400.0,55700.0,103355.2
Alabama,AL,11-9199,"Managers, All Other","3,290",112350.0,106810.0,53910.0,176592.0
Alabama,AL,13-1020,Buyers and Purchasing Agents,"8,600",73790.0,65560.0,40140.0,114628.8
Alabama,AL,13-1031,"Claims Adjusters, Examiners, and Investigators","4,940",75490.0,77820.0,46700.0,99465.6
Alabama,AL,13-1041,Compliance Officers,"3,270",71530.0,65310.0,38540.0,111904.0
Alabama,AL,13-1051,Cost Estimators,"2,570",68010.0,61590.0,41780.0,104748.8
Alabama,AL,13-1071,Human Resources Specialists,"10,620",66220.0,60120.0,38170.0,102252.8
Alabama,AL,13-1075,Labor Relations Specialists,530,57470.0,34250.0,18000.0,137009.6
Alabama,AL,13-1081,Logisticians,"5,650",92980.0,91460.0,54270.0,132932.8
Alabama,AL,13-1082,Project Management Specialists,**,108990.0,101630.0,57810.0,168126.4
Alabama,AL,13-1111,Management Analysts,"5,830",112390.0,98900.0,59450.0,185307.2
Alabama,AL,13-1121,"Meeting, Convention, and Event Planners",990,51070.0,47350.0,32020.0,72404.8
