job_id,job_title,jobs_group,seniority,remote,company_clean,company,city,state_x,annual_low,annual_mean,annual_high,bls_occ_code,skills,skills_count,company_co,sector,sector_group,revenue_band,revenue_rank,employee_band,employee_rank,company_score,reviews_count,state_y,state_abbr,occ_title,total_employed,bls_annual_mean,bls_annual_median,bls_p10,bls_p90,state_name,pce_2023_in_millions
sj_1e37379f40861c74,Business Analyst,Business Analyst,Unspecified,On-site,Cybercoders,CyberCoders,Torrington,CT,80000.0,95000.0,110000.0,13-1111,[],0,CyberCoders,Human Resources,Human Resources,L,5.0,M,4.0,3.9,82.0,Connecticut,CT,Management Analysts,"9,570",115530.0,102960.0,64420.0,175156.8,Connecticut,235580.4
job_df29ae66361809be,Business Systems Analyst - Remote Work Opportunity,Business Analyst,Unspecified,Remote,Culinary Institute Of America,Culinary Institute of America,Hyde Park,NY,70000.0,75000.0,80000.0,13-1111,"['Access', 'Office', 'SQL', 'Bachelor', '.NET', 'ERP']",6,Culinary Institute of America,,,,,,,3.7,74.0,New York,NY,Management Analysts,"59,640",126450.0,106100.0,64460.0,206398.4,New York,1248145.3
job_d99cde7d90678e47,Training and placement for Business Analyst,Business Analyst,Unspecified,On-site,Precision Technologies Corp,Precision Technologies Corp,Milltown,NJ,66240.0,69920.0,73600.0,13-1111,"['Excel', 'SQL']",2,precision technologies corp,Software Development,Information Technology,,,,,3.7,7.0,New Jersey,NJ,Management Analysts,"19,300",122840.0,103770.0,66060.0,182312.0,New Jersey,592882.2
job_628abdee3ad81cfc,"Lead Business Analyst, ASC Customer Reporting Solutions- Remote",Financial Analyst,Lead,Remote,Stryker,Stryker,,MI,176800.0,176800.0,176800.0,13-2051,['Bachelor'],1,Stryker,,,,,,,,,Michigan,MI,Financial and Investment Analysts,"7,520",95710.0,83920.0,61040.0,130353.6,Michigan,524045.1
job_7fb39d213f0cd66d,Sr. Analyst-Business Intelligence,Business Intelligence,Senior,Hybrid,Verizon,Verizon,Basking Ridge,NJ,70000.0,99500.0,129000.0,15-2031,"['Excel', 'Tableau', 'SQL', 'Bachelor', 'Python', 'SSAS', 'R', 'VBA', 'SSIS', 'SSRS']",10,Verizon,Telecommunications,Information Technology,XXXL,8.0,XXXL,8.0,3.9,31584.0,New Jersey,NJ,Operations Research Analysts,"3,890",108990.0,102140.0,65400.0,158496.0,New Jersey,592882.2
job_056d613ceddd8edf,Marketing Analyst - North America Business Unit,Business Analyst,Unspecified,Hybrid,Katun,Katun,Minneapolis,MN,55000.0,65000.0,75000.0,13-1111,"['Excel', 'Access', 'Word', 'Office', 'Bachelor', 'PowerPoint', 'ERP']",7,Katun,,,,,,,3.5,11.0,Minnesota,MN,Management Analysts,"20,780",102380.0,92310.0,61110.0,162947.2,Minnesota,324127.6
job_0d285c2257958e56,Analyst-Merchandising Operations,Operations Analyst,Unspecified,On-site,Lowe'S,Lowe's,Mooresville,NC,56400.0,75200.0,94000.0,15-2031,"['PowerPoint', 'Bachelor']",2,Lowe's,Wholesale and Retail Sales,Sales,XXXL,8.0,XXXL,8.0,3.5,52704.0,North Carolina,NC,Operations Research Analysts,"2,270",99020.0,101190.0,61410.0,143769.6,North Carolina,553487.4
job_42b3349f970f0044,Product Owner – Business Intelligence,Business Intelligence,Unspecified,Remote,Forward Air,Forward Air,Irving,TX,110000.0,120000.0,130000.0,15-2031,"['Excel', 'Tableau', 'Word', 'Office', 'SQL', 'Power BI', 'PowerPoint', 'Agile', 'SSRS']",9,Forward Air,Transportation and Logistics,Transportation and Logistics,XL,6.0,XL,6.0,3.1,947.0,Texas,TX,Operations Research Analysts,"11,690",96300.0,86510.0,51970.0,140504.0,Texas,1595277.8
job_110ef4f51d0759fb,Web Commerce Business Analyst,Business Analyst,Unspecified,Hybrid,Eaton,Eaton,Menomonee Falls,WI,101250.0,124875.0,148500.0,13-1111,"['SAP', 'Bachelor']",2,Eaton,Manufacturing,Product Manufacturing,XXXL,8.0,XXXL,8.0,3.7,5161.0,Wisconsin,WI,Management Analysts,"13,160",109660.0,99630.0,61440.0,173264.0,Wisconsin,310876.1
job_8bc0cd172246fbdc,Financial Operations Analyst,Financial Analyst,Unspecified,On-site,Us Assistant Secretary For Housing-Federal Housing...,US Assistant Secretary for Housing-Federal Housing...,Washington,DC,78592.0,100525.5,122459.0,13-2051,"['Excel', 'Word', 'Office', 'Bachelor', 'SSIS']",5,US Assistant Secretary for Housing-Federal Housing...,,,,,,,,,District of Columbia,DC,Financial and Investment Analysts,"3,710",115620.0,102890.0,65750.0,176883.2,District of Columbia,62490.4
job_0a093457314b73cb,Business Systems Analyst (REMOTE-US),Business Analyst,Unspecified,Remote,Ambry Genetics Corporation,Ambry Genetics Corporation,Aliso Viejo,CA,100000.0,110000.0,120000.0,13-1111,"['Jira', 'Bachelor']",2,Ambry Genetics Corporation,Pharmaceuticals and Biotechnology,Pharmaceuticals and Biotechnology,,,L,5.0,3.3,68.0,California,CA,Management Analysts,"110,430",119370.0,99800.0,60060.0,191547.2,California,2526290.3
job_66ab8aa538970b69,Business/Enterprise Analyst,Business Analyst,Unspecified,On-site,Noble Healthcare,NOBLE HEALTHCARE,Houston,TX,140000.0,165000.0,190000.0,13-1111,"['Tableau', 'Matlab', 'SQL', 'Power BI', 'Oracle', 'Bachelor', 'Python', 'R', 'Sisense', 'Hadoop', 'Qlik']",11,NOBLE HEALTHCARE,Healthcare,Health,,,,,3.6,5.0,Texas,TX,Management Analysts,"50,900",106600.0,95760.0,58710.0,171371.2,Texas,1595277.8
job_39bd080e9edb95a2,Senior Business Analyst,Business Analyst,Senior,Remote,Xyber It,Xyber IT,Nashville,TN,106720.0,106720.0,106720.0,13-1111,['Bachelor'],1,Xyber IT,IT Support,Information Technology,,,,,,,Tennessee,TN,Management Analysts,"9,580",93870.0,83620.0,53960.0,136281.6,Tennessee,351524.5
