state,pce_2023_in_millions
Alabama,227475.0
Alaska,46131.3
Arizona,400704.5
Arkansas,135760.8
California,2526290.3
Colorado,374880.1
Connecticut,235580.4
Delaware,59511.5
District of Columbia,62490.4
Florida,1361251.4
Georgia,554573.4
Hawaii,83403.5
Idaho,90907.7
Illinois,732059.2
Indiana,339862.5
Iowa,153399.7
Kansas,145110.3
Kentucky,213960.2
Louisiana,221484.7
Maine,84092.7
Maryland,346417.2
Massachusetts,483803.1
Michigan,524045.1
Minnesota,324127.6
Mississippi,123851.1
Missouri,322803.9
Montana,62603.2
Nebraska,103226.1
Nevada,172657.6
New Hampshire,92406.2
New Jersey,592882.2
New Mexico,97420.9
New York,1248145.3
North Carolina,553487.4
North Dakota,43727.5
Ohio,596162.7
Oklahoma,179981.1
Oregon,234577.7
Pennsylvania,738929.8
Rhode Island,61337.8
South Carolina,264655.8
South Dakota,47926.8
Tennessee,351524.5
Texas,1595277.8
Utah,174395.8
Vermont,38173.0
Washington,472900.0
West Virginia,84235.1
Wisconsin,310876.1
Wyoming,33256.8
